#{"t_start": 1771242932.9811652, "env_id": "ALE/Pacman-v5"}
r,l,t
13.0,448,2.121123
12.0,356,2.338806
13.0,446,2.642133
9.0,344,2.85188
4.0,294,3.035387
19.0,476,3.323029
19.0,404,3.570277
10.0,428,3.827868
24.0,520,4.14137
18.0,418,4.396275
18.0,406,4.642429
6.0,366,4.864789
28.0,638,5.250403
13.0,550,5.58048
6.0,312,5.770737
26.0,494,6.070759
9.0,328,6.274018
16.0,452,6.547049
14.0,420,6.800533
18.0,434,7.061072
13.0,388,7.301691
19.0,540,7.625631
16.0,482,7.914618
16.0,418,9.093804
18.0,392,10.133765
18.0,420,11.268569
9.0,428,12.406133
40.0,720,14.31512
14.0,408,15.44088
43.0,1074,18.412287
15.0,444,19.561289
11.0,398,20.600566
14.0,380,21.594641
21.0,488,22.937199
23.0,436,24.137438
47.0,594,25.966077
20.0,428,27.382577
21.0,442,28.793192
10.0,356,29.876357
17.0,396,31.205608
19.0,406,32.387308
20.0,408,33.548534
13.0,336,34.544279
10.0,432,35.739581
13.0,368,36.816664
20.0,488,38.218498
14.0,422,39.396618
11.0,314,40.324646
13.0,456,41.626428
11.0,348,42.654365
7.0,308,43.527201
21.0,420,44.746186
18.0,516,46.237075
24.0,554,47.83325
22.0,444,49.377776
26.0,440,50.858399
11.0,360,52.0073
40.0,736,54.394516
26.0,470,55.809415
29.0,804,58.274346
14.0,370,59.401096
29.0,594,61.251253
10.0,382,62.417074
15.0,460,63.818804
18.0,444,65.191201
18.0,352,66.297552
15.0,432,67.566232
12.0,366,68.641148
19.0,424,69.967294
29.0,732,72.282178
15.0,406,73.730501
14.0,378,75.060049
11.0,422,76.532829
22.0,462,78.126502
30.0,562,79.849285
19.0,404,81.144676
19.0,526,82.834853
17.0,406,84.120073
46.0,501,85.719877
21.0,430,87.088878
28.0,548,88.859673
114.0,1146,92.403802
34.0,686,94.589986
43.0,690,97.021302
16.0,412,98.570463
14.0,370,99.923196
17.0,434,101.35171
16.0,460,102.847875
27.0,476,104.435396
51.0,662,106.65714
25.0,606,108.655676
36.0,600,110.614941
17.0,424,112.036897
57.0,726,114.427702
24.0,552,116.213788
15.0,388,117.484181
16.0,478,119.196839
49.0,636,121.580398
19.0,430,123.10008
19.0,510,124.925822
10.0,442,126.443648
12.0,370,127.746814
36.0,688,130.187619
17.0,376,131.49175
29.0,546,133.474976
31.0,680,135.913961
24.0,466,137.52803
29.0,696,139.921537
23.0,710,142.595587
25.0,434,144.316749
19.0,438,146.030815
17.0,414,147.63305
23.0,508,149.431671
26.0,536,151.349432
27.0,684,153.767992
14.0,436,155.287407
27.0,412,156.719219
43.0,678,159.094121
21.0,404,160.504331
30.0,494,162.205792
54.0,878,165.424904
50.0,726,168.310196
19.0,390,169.981337
58.0,668,172.534374
17.0,412,174.079323
21.0,462,175.820971
15.0,384,177.212672
37.0,566,179.264021
49.0,790,182.097944
23.0,530,184.009232
17.0,446,185.641125
32.0,652,188.149505
17.0,400,189.817736
15.0,384,191.318544
65.0,939,195.094804
21.0,470,196.864493
42.0,632,199.2615
26.0,486,201.010176
56.0,700,203.587763
39.0,1522,209.086149
22.0,402,210.742132
32.0,484,212.814841
41.0,668,215.633953
28.0,434,217.364857
15.0,374,218.806574
40.0,730,221.547179
26.0,734,224.272059
34.0,620,226.557052
42.0,543,228.591443
40.0,688,231.229122
20.0,472,233.156704
25.0,380,234.802962
29.0,488,236.905391
52.0,758,240.073887
37.0,714,242.791836
45.0,778,245.794431
23.0,458,247.492851
35.0,616,249.796132
27.0,484,251.600353
29.0,618,253.893241
61.0,732,256.807056
34.0,694,259.768777
33.0,524,262.054201
35.0,540,264.185457
47.0,672,266.790944
26.0,508,268.792736
40.0,708,271.78998
103.0,706,274.527521
29.0,584,276.809647
30.0,502,278.780134
29.0,558,281.279768
36.0,546,283.76013
31.0,450,285.746594
28.0,504,287.796733
37.0,618,290.348717
37.0,662,293.072891
22.0,458,295.061875
26.0,502,297.07986
35.0,518,299.202527
27.0,574,301.451622
27.0,434,303.370175
25.0,502,305.732593
35.0,584,308.460988
27.0,524,310.707552
24.0,520,312.895973
19.0,412,314.653933
27.0,502,316.823816
31.0,502,318.95473
30.0,432,320.800097
35.0,656,323.570706
32.0,498,325.635245
35.0,688,328.871768
33.0,520,331.251729
43.0,560,333.59472
28.0,504,335.729169
56.0,740,338.778088
46.0,728,341.706959
34.0,486,343.630978
61.0,604,346.032545
50.0,766,349.284725
32.0,686,352.48338
24.0,562,355.082452
37.0,458,357.027862
36.0,670,359.992239
40.0,668,362.755305
51.0,804,366.075076
26.0,520,368.191026
62.0,750,371.40654
21.0,490,373.667158
64.0,708,377.03144
28.0,440,378.897523
22.0,436,380.755423
26.0,426,382.545372
24.0,428,384.318304
51.0,656,387.094823
32.0,420,388.819903
41.0,636,391.424564
43.0,592,393.991127
47.0,624,397.021981
62.0,684,400.148167
53.0,738,403.328426
38.0,554,405.678536
72.0,1194,410.754178
34.0,462,412.641562
42.0,526,414.793061
41.0,492,416.86832
42.0,594,419.638983
37.0,484,421.86185
36.0,576,424.38153
47.0,558,426.795813
44.0,502,428.904027
27.0,582,431.299381
44.0,622,433.866586
68.0,882,437.521937
49.0,688,440.653895
50.0,656,443.798057
21.0,402,445.643574
19.0,350,447.165073
59.0,796,450.579484
26.0,386,452.168547
29.0,460,454.113152
26.0,452,456.123447
39.0,546,458.397275
59.0,724,461.368521
59.0,602,464.230649
42.0,578,466.995216
40.0,538,469.379623
37.0,538,471.727274
67.0,610,474.352219
56.0,680,477.236042
56.0,762,480.51955
76.0,654,483.189275
54.0,772,486.584243
54.0,794,490.430496
34.0,424,492.287702
54.0,772,495.599014
51.0,868,499.311342
59.0,690,502.188722
26.0,460,504.075742
35.0,578,506.447373
58.0,720,509.626072
25.0,512,512.092541
85.0,858,516.037064
39.0,614,518.633657
66.0,902,522.445488
56.0,778,525.734184
44.0,552,527.998239
78.0,762,531.138101
39.0,674,534.270067
56.0,710,537.643776
48.0,460,539.617564
55.0,746,542.734778
30.0,400,544.45078
44.0,694,547.380484
30.0,510,549.496387
36.0,594,551.919142
47.0,730,555.097839
49.0,666,558.210597
45.0,570,560.842742
46.0,598,563.314294
31.0,400,564.994428
31.0,468,566.979621
46.0,704,569.807075
54.0,650,572.391578
45.0,512,574.404681
41.0,492,576.345846
60.0,664,579.31887
45.0,634,582.222284
37.0,424,584.116812
39.0,556,586.372788
45.0,648,589.076686
48.0,518,591.183247
43.0,526,593.363207
31.0,398,594.920249
54.0,546,597.086579
45.0,586,599.387907
42.0,706,602.520753
48.0,724,605.892058
36.0,538,608.087154
35.0,522,610.263813
43.0,750,613.353471
36.0,516,615.494839
36.0,518,617.600144
48.0,754,620.597952
31.0,436,622.319617
21.0,512,624.686058
43.0,596,627.391202
42.0,458,629.469977
40.0,608,631.991742
40.0,496,634.053288
52.0,574,636.506174
46.0,636,639.037017
28.0,374,640.517556
36.0,518,642.561177
37.0,514,644.604799
42.0,594,647.281761
35.0,522,649.722448
38.0,568,652.272724
55.0,696,655.159305
48.0,498,657.219631
40.0,474,659.162521
58.0,508,661.198326
55.0,598,663.614374
53.0,638,666.108752
51.0,614,668.512721
62.0,660,671.553305
55.0,570,674.110189
60.0,578,676.637882
44.0,600,679.129436
54.0,668,681.816948
39.0,424,683.477964
46.0,554,685.687652
58.0,814,688.898053
40.0,472,690.766533
54.0,558,693.254869
64.0,736,696.573474
42.0,526,698.761876
29.0,416,700.413037
66.0,642,703.018786
55.0,624,705.58685
64.0,870,709.084141
58.0,824,712.313337
54.0,822,715.765302
68.0,676,718.765628
60.0,630,721.63148
37.0,484,723.576971
50.0,660,726.290124
37.0,472,728.238067
37.0,686,731.034106
174.0,982,734.859093
53.0,596,737.221276
59.0,522,739.607811
58.0,586,742.286128
36.0,480,744.505095
44.0,568,746.867381
48.0,570,749.174867
36.0,438,750.921851
54.0,620,753.383489
57.0,644,755.925813
32.0,468,757.756727
66.0,598,760.09402
51.0,540,762.600006
41.0,472,764.782459
65.0,612,767.54453
51.0,486,769.546856
39.0,526,771.749152
60.0,638,774.345391
47.0,632,776.907747
46.0,558,779.17992
45.0,570,781.468902
48.0,538,783.586241
53.0,582,786.225267
59.0,582,788.876186
60.0,668,791.555219
66.0,826,794.964546
58.0,586,797.27866
51.0,570,799.547777
49.0,732,802.40755
55.0,548,804.56058
63.0,558,806.956706
42.0,454,808.998652
44.0,492,811.273518
40.0,482,813.360198
52.0,544,815.588195
49.0,558,817.898723
49.0,548,820.079141
52.0,492,822.005209
62.0,674,824.664904
46.0,584,826.96961
63.0,746,830.095466
52.0,598,832.805388
52.0,568,835.327038
55.0,528,837.524311
55.0,588,839.860259
63.0,718,842.675435
52.0,754,845.639389
53.0,700,848.384843
55.0,620,850.838439
53.0,688,854.117737
55.0,606,856.906673
54.0,608,859.502057
59.0,676,862.311009
46.0,522,864.429165
57.0,552,866.606973
57.0,560,868.882308
63.0,732,871.755622
50.0,542,873.903723
40.0,596,876.596604
62.0,720,879.977743
51.0,628,882.625543
58.0,678,885.413178
59.0,598,887.883698
41.0,442,889.727883
51.0,522,891.82206
55.0,622,894.258269
47.0,522,896.299927
70.0,856,900.168762
52.0,564,902.819891
47.0,468,904.862293
47.0,576,907.203824
32.0,470,909.148137
50.0,738,912.041057
53.0,560,914.421403
63.0,756,917.434221
54.0,648,920.056926
43.0,496,922.301112
49.0,498,924.541072
66.0,732,927.700031
47.0,556,930.011131
58.0,746,934.084916
59.0,617,937.017346
27.0,468,938.914516
64.0,660,941.538657
75.0,714,944.497369
47.0,516,946.983021
72.0,658,950.20707
54.0,586,952.737599
44.0,498,954.854078
41.0,660,957.58412
97.0,828,960.999411
78.0,756,964.034353
62.0,770,967.165346
65.0,702,970.467546
63.0,524,972.929566
94.0,832,976.465975
104.0,1010,980.799877
88.0,726,983.848989
45.0,458,985.67937
75.0,666,988.316463
53.0,568,990.733082
56.0,878,994.779385
46.0,574,997.392246
45.0,468,999.363953
65.0,700,1002.251618
39.0,524,1004.328879
72.0,806,1007.624457
94.0,710,1010.439607
44.0,480,1012.34571
57.0,922,1016.455096
