#{"t_start": 1771908561.682863, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.386607
15.0,414,2.670699
21.0,434,3.060491
14.0,534,3.447246
7.0,322,3.673867
15.0,530,4.02969
18.0,416,4.318071
11.0,402,4.591917
10.0,440,4.893772
11.0,378,5.157125
8.0,386,5.427276
6.0,352,5.677886
24.0,506,6.028108
15.0,386,6.294146
22.0,432,6.588356
12.0,382,6.848547
15.0,424,7.136853
12.0,388,7.402529
15.0,392,7.676686
10.0,332,7.90485
20.0,404,8.183885
22.0,536,8.567179
14.0,694,9.030215
12.0,422,16.03008
23.0,656,28.946827
11.0,390,36.592234
14.0,436,45.133692
13.0,402,53.128989
45.0,556,64.11675
18.0,384,71.866237
9.0,366,79.084652
9.0,332,86.290132
17.0,376,93.971937
33.0,606,107.289212
13.0,356,115.209238
25.0,598,127.462919
12.0,362,134.975211
19.0,394,142.922434
12.0,374,150.179775
14.0,408,158.314567
16.0,384,166.035765
13.0,396,174.509598
24.0,530,185.837754
12.0,410,194.288975
14.0,412,202.987372
12.0,372,210.850671
17.0,408,219.508786
20.0,406,228.5619
17.0,376,237.01955
20.0,418,246.292523
12.0,356,253.877714
18.0,594,265.931385
16.0,408,274.507918
16.0,460,284.125914
14.0,402,292.488333
24.0,446,301.947397
12.0,342,309.114253
17.0,374,316.914361
14.0,458,326.635995
26.0,568,338.613698
18.0,360,346.149688
13.0,616,359.153342
21.0,438,368.529051
21.0,410,377.162377
27.0,526,388.272653
19.0,458,398.051369
17.0,448,407.581857
18.0,428,416.649253
22.0,478,426.772292
17.0,642,440.452478
24.0,472,450.479628
21.0,498,461.115904
18.0,400,469.697491
22.0,428,478.984806
23.0,448,488.770338
20.0,444,498.274961
25.0,440,507.775401
27.0,540,519.397068
15.0,382,527.594984
23.0,446,537.256561
13.0,422,546.461317
20.0,402,555.285226
16.0,360,563.095473
22.0,552,575.124279
20.0,484,585.685022
16.0,390,594.243612
10.0,378,602.526012
23.0,420,611.742642
13.0,398,620.418113
15.0,384,628.854582
14.0,416,637.900214
17.0,458,647.963837
16.0,480,658.353533
13.0,382,666.892603
39.0,646,681.120663
19.0,964,702.452975
14.0,352,710.206301
16.0,408,719.254216
16.0,478,729.855717
33.0,548,742.135473
26.0,444,752.062875
35.0,696,767.708113
13.0,472,778.294141
13.0,388,786.963102
19.0,448,796.902314
99.0,750,813.798084
18.0,434,823.603217
14.0,388,832.279951
23.0,424,841.853231
35.0,732,858.299598
18.0,428,867.966716
13.0,338,875.62397
21.0,498,887.156174
23.0,542,899.533861
13.0,362,907.759017
14.0,422,917.471072
23.0,432,927.302653
19.0,480,938.329622
23.0,510,950.06266
13.0,432,960.068653
19.0,384,968.821207
21.0,378,977.523669
32.0,464,988.210906
14.0,398,997.464636
48.0,634,1012.164297
17.0,416,1021.817951
23.0,432,1031.73787
12.0,388,1040.639949
37.0,598,1054.668949
23.0,494,1066.190596
16.0,374,1074.89114
18.0,404,1084.434662
16.0,402,1093.834615
18.0,416,1103.546121
11.0,416,1113.236937
26.0,552,1126.126505
21.0,472,1137.236798
23.0,436,1147.431285
17.0,468,1158.435756
34.0,512,1170.684613
19.0,458,1181.514998
24.0,480,1192.993001
12.0,430,1203.128596
19.0,444,1213.639417
22.0,440,1224.247345
11.0,332,1232.179493
26.0,502,1244.172062
24.0,632,1259.166355
20.0,492,1271.007697
19.0,498,1282.956353
96.0,628,1298.006433
11.0,518,1310.324885
19.0,428,1320.674845
37.0,602,1335.135202
100.0,768,1353.662901
60.0,670,1369.732319
19.0,402,1379.47737
16.0,464,1390.796174
38.0,582,1405.108549
89.0,560,1418.65775
26.0,636,1434.199963
16.0,414,1444.269033
12.0,374,1453.463579
