#{"t_start": 1771811239.1069493, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.327
15.0,414,2.666
21.0,434,2.973
14.0,534,3.298
7.0,322,3.5
15.0,530,3.83
18.0,416,4.083
11.0,402,4.375
10.0,440,4.681
11.0,378,4.942
8.0,386,5.196
6.0,352,5.438
24.0,506,5.757
15.0,386,6.002
22.0,432,6.289
12.0,382,6.539
15.0,424,6.838
12.0,388,7.103
15.0,392,7.379
10.0,332,7.615005
20.0,404,7.914
22.0,536,8.302
14.0,694,8.735
48.0,510,11.826003
30.0,532,15.583004
23.0,476,18.746002
49.0,804,24.139398
66.0,672,28.772398
19.0,426,31.598398
15.0,498,34.881398
96.0,694,39.495754
16.0,466,42.663754
22.0,530,46.270755
55.0,632,50.587754
25.0,502,53.995754
24.0,512,57.479756
23.0,606,61.685754
15.0,424,64.611755
14.0,582,68.661755
17.0,466,71.967756
29.0,750,77.274755
14.0,442,80.404754
51.0,692,85.268754
11.0,360,87.801755
27.0,474,91.109755
69.0,846,97.078755
47.0,710,102.050755
24.0,406,104.899755
23.0,430,107.940754
47.0,642,112.450755
101.0,788,117.978755
27.0,434,121.009754
44.0,634,125.459754
336.0,532,129.192755
298.0,842,135.043755
37.0,634,139.459754
35.0,714,144.564754
52.0,642,149.094754
41.0,780,154.576755
44.0,684,159.330754
72.0,872,165.401755
50.0,570,169.338755
33.0,592,173.449755
42.0,640,177.89077
34.0,481,181.30277
115.0,976,188.10077
48.0,628,192.45477
45.0,576,196.46077
47.0,666,201.102769
95.0,856,207.043127
33.0,580,211.052126
58.0,732,216.146127
42.0,596,220.267127
48.0,584,224.322127
35.0,572,228.395127
46.0,580,232.396127
42.0,558,236.261127
46.0,644,240.728127
84.0,868,246.722127
41.0,678,251.518127
51.0,576,255.597127
69.0,756,260.896127
34.0,594,265.168127
94.0,498,268.844127
49.0,678,273.708127
43.0,624,278.294127
108.0,532,282.610127
114.0,686,288.157126
93.0,836,294.547127
86.0,724,299.657127
42.0,592,303.832127
71.0,646,308.417127
54.0,746,313.656127
52.0,638,318.239127
26.0,419,321.181127
106.0,596,325.432127
42.0,666,330.138127
47.0,586,334.251127
81.0,788,339.849127
32.0,462,343.113127
56.0,684,347.919127
51.0,704,352.885126
115.0,686,357.697126
103.0,532,361.460128
65.0,690,366.339127
105.0,554,370.241127
39.0,514,373.879127
75.0,722,378.937127
45.0,554,382.866127
109.0,730,388.003127
54.0,578,392.091127
73.0,734,397.282127
44.0,492,400.761127
40.0,598,405.015126
47.0,541,408.818127
71.0,618,413.179127
45.0,636,417.662127
44.0,678,422.431127
64.0,650,427.038127
43.0,530,430.768127
52.0,780,436.256126
82.0,714,441.325127
79.0,640,445.840127
49.0,621,450.215127
34.0,624,454.594127
364.0,662,459.255126
45.0,846,465.196127
103.0,592,469.367126
58.0,654,473.986127
74.0,846,479.940127
60.0,778,485.415127
114.0,662,490.077127
32.0,440,493.246127
65.0,778,498.707127
45.0,772,504.179127
124.0,732,509.345127
152.0,932,515.938127
36.0,574,519.990127
110.0,646,524.519127
37.0,490,527.968127
70.0,866,534.040127
29.0,476,537.412127
56.0,816,543.178127
37.0,556,547.108127
213.0,900,553.530127
210.0,924,560.117127
