#{"t_start": 1772134061.5807064, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.698581
15.0,414,2.981075
21.0,434,3.309664
14.0,534,3.679758
7.0,322,3.915551
15.0,530,4.274373
18.0,416,4.559191
11.0,402,4.831014
10.0,440,5.139693
11.0,378,5.400923
8.0,386,5.669189
6.0,352,5.916974
24.0,506,6.264258
15.0,386,6.535007
22.0,432,6.838697
12.0,382,7.102624
15.0,424,7.394871
12.0,388,7.661653
15.0,392,7.936599
10.0,332,8.167899
20.0,404,8.446326
22.0,536,8.826748
14.0,694,9.293613
24.0,554,19.637069
13.0,430,29.018638
13.0,412,37.990528
11.0,342,45.483497
14.0,400,54.208256
16.0,434,63.698557
17.0,400,72.43801
11.0,336,79.786328
12.0,404,88.707953
23.0,588,101.726375
14.0,378,110.336215
19.0,568,123.008614
13.0,358,130.932468
14.0,402,139.947331
23.0,554,152.277326
9.0,400,161.12107
19.0,442,170.877705
9.0,316,177.839
15.0,418,187.060107
10.0,310,193.937979
12.0,404,202.937034
28.0,498,214.026972
12.0,382,222.561154
15.0,486,233.400348
21.0,420,243.074175
25.0,654,257.809133
17.0,406,266.977839
19.0,378,275.559235
15.0,398,285.485763
14.0,334,293.762729
14.0,452,305.162663
15.0,396,314.412057
14.0,386,324.108449
15.0,358,332.995175
11.0,426,343.150049
23.0,522,356.471878
11.0,374,365.863194
18.0,408,374.950741
10.0,388,384.024497
15.0,418,393.747322
15.0,422,403.834522
20.0,454,413.994274
21.0,516,425.659982
21.0,478,436.452299
22.0,470,447.955274
11.0,442,459.205593
20.0,416,469.49772
21.0,440,479.439783
22.0,488,490.535408
14.0,394,499.512292
18.0,430,509.713328
12.0,358,518.289337
12.0,360,527.151668
15.0,452,537.915341
13.0,320,545.695486
17.0,404,555.561688
13.0,618,569.677008
17.0,480,580.653016
20.0,414,590.438138
15.0,528,602.792412
18.0,436,613.561053
27.0,470,624.749499
22.0,544,637.421925
14.0,378,646.439197
20.0,456,657.026538
15.0,462,667.991873
15.0,412,677.559901
13.0,478,688.803283
16.0,418,698.391789
12.0,370,707.078956
11.0,386,716.041534
11.0,396,725.476651
15.0,394,734.943084
15.0,380,743.914586
19.0,448,754.890846
11.0,386,764.814049
8.0,412,774.949285
13.0,406,784.554062
17.0,414,794.518844
16.0,562,808.633301
23.0,536,828.56563
29.0,708,864.992806
14.0,390,884.455163
16.0,354,902.805303
16.0,474,926.855336
25.0,452,949.774212
12.0,508,975.267416
10.0,374,994.204409
16.0,422,1015.085359
23.0,478,1038.849642
18.0,416,1059.456922
6.0,326,1075.945635
22.0,452,1098.577964
15.0,490,1123.25479
11.0,464,1146.379846
14.0,502,1171.353574
20.0,442,1193.606937
19.0,476,1217.167138
15.0,386,1236.482778
13.0,404,1256.793478
17.0,458,1279.855026
11.0,438,1301.537413
14.0,476,1325.300335
16.0,416,1345.861147
13.0,406,1366.004091
14.0,428,1387.053772
10.0,352,1404.685152
15.0,382,1423.39573
16.0,406,1443.275013
27.0,412,1463.499578
11.0,354,1481.067976
18.0,444,1502.915596
16.0,570,1531.286769
17.0,484,1555.442932
11.0,388,1574.720679
12.0,392,1594.045991
13.0,344,1610.894327
17.0,430,1631.860041
20.0,494,1655.992043
18.0,368,1673.88288
20.0,418,1694.301624
16.0,376,1712.325419
14.0,414,1732.631151
25.0,606,1762.571146
15.0,458,1785.264333
17.0,428,1806.217476
9.0,362,1823.788315
27.0,448,1845.886598
19.0,472,1868.713458
11.0,454,1890.625126
16.0,426,1911.501649
14.0,420,1932.590412
18.0,420,1952.8938
12.0,374,1970.52533
13.0,400,1989.233672
31.0,534,2014.061433
20.0,398,2032.549251
12.0,416,2051.985364
22.0,484,2074.534845
11.0,360,2091.197376
10.0,496,2114.345793
15.0,434,2134.790776
32.0,722,2168.34923
21.0,486,2190.876445
16.0,386,2209.078946
18.0,510,2233.096055
15.0,456,2254.826162
22.0,456,2276.239718
24.0,636,2305.768037
28.0,480,2328.734776
14.0,434,2349.315462
12.0,398,2368.062651
14.0,474,2390.515986
17.0,502,2413.815009
14.0,406,2432.695589
11.0,388,2450.704849
19.0,384,2468.588703
15.0,392,2486.850522
14.0,416,2505.865926
18.0,474,2527.797434
