#{"t_start": 1772087579.0889084, "env_id": "ALE/Pacman-v5"}
r,l,t
11.0,418,2.733824
15.0,414,3.049929
21.0,434,3.460982
14.0,534,3.831355
7.0,322,4.069729
15.0,530,4.444975
18.0,416,4.748344
11.0,402,5.03335
10.0,440,5.348482
11.0,378,5.617342
8.0,386,5.889803
6.0,352,6.154289
24.0,506,6.534052
15.0,386,6.818085
22.0,432,7.148291
12.0,382,7.397567
15.0,424,7.693678
12.0,388,7.983195
15.0,392,8.354532
10.0,332,8.629584
20.0,404,8.935799
22.0,536,9.315845
14.0,694,9.783861
34.0,580,19.350674
16.0,420,27.671961
29.0,736,42.850985
13.0,478,52.290173
11.0,434,60.476083
25.0,428,68.115955
9.0,390,75.241642
19.0,398,82.962468
20.0,480,92.527879
15.0,382,99.382655
17.0,446,107.398546
17.0,414,114.803364
19.0,386,121.710189
7.0,344,127.835879
16.0,494,136.67652
15.0,386,143.896379
11.0,412,151.568959
14.0,410,158.788206
13.0,384,165.741145
21.0,446,173.811774
14.0,352,180.249721
15.0,474,188.851239
22.0,596,199.665128
14.0,404,206.990445
18.0,514,216.31311
17.0,388,223.17967
19.0,660,235.110984
18.0,494,244.413443
16.0,418,252.045734
16.0,518,261.424363
15.0,416,269.053648
16.0,528,278.820239
24.0,624,290.147788
16.0,442,298.242564
11.0,400,305.772717
18.0,386,312.939357
17.0,480,321.893803
15.0,352,328.460042
15.0,358,335.033156
9.0,368,341.840274
15.0,386,349.013925
24.0,750,362.475725
10.0,344,368.710654
13.0,482,377.363587
18.0,408,384.723682
14.0,364,391.320065
12.0,460,399.598672
18.0,404,407.002497
14.0,380,414.006594
14.0,464,422.41339
21.0,392,429.630134
15.0,380,436.618701
9.0,354,443.109975
5.0,286,448.269858
17.0,408,455.63151
19.0,492,464.584951
12.0,352,470.945144
18.0,422,478.651647
15.0,458,487.038115
15.0,412,494.555551
16.0,416,502.257884
15.0,384,509.342555
17.0,400,516.739073
10.0,322,522.733876
23.0,406,530.19436
18.0,500,539.36769
16.0,464,547.788373
14.0,372,554.618419
15.0,338,560.851077
13.0,412,568.38194
16.0,392,575.504985
9.0,360,582.08589
29.0,508,591.389079
12.0,320,597.284365
13.0,360,603.897498
11.0,360,610.472668
31.0,608,621.678947
7.0,304,627.24162
16.0,374,634.163225
25.0,530,643.991626
19.0,416,651.709187
14.0,406,659.24541
18.0,414,666.914285
23.0,472,675.60766
11.0,380,682.665539
13.0,456,690.975769
19.0,536,700.981766
12.0,478,709.929882
17.0,432,717.883499
18.0,430,725.872283
21.0,384,732.985533
16.0,436,741.001654
47.0,532,750.935823
20.0,442,759.273069
15.0,430,767.336404
15.0,396,774.666789
15.0,492,783.92822
15.0,402,791.351467
12.0,390,798.570615
10.0,384,805.74299
25.0,606,817.09745
11.0,344,823.475339
13.0,422,831.304906
14.0,348,837.87825
18.0,426,845.827097
17.0,560,856.303741
21.0,554,866.67889
15.0,396,874.101415
10.0,330,880.229704
11.0,432,888.334657
12.0,492,897.606336
53.0,838,913.441029
23.0,420,921.566214
23.0,514,931.397007
20.0,476,940.367064
16.0,404,947.929291
14.0,440,956.163182
15.0,418,964.079945
25.0,472,972.899566
21.0,586,983.882049
26.0,550,994.280632
16.0,494,1003.757248
18.0,468,1012.724117
30.0,618,1024.538241
16.0,456,1033.194815
15.0,544,1043.412694
13.0,406,1051.059459
28.0,498,1060.537736
12.0,420,1068.574137
18.0,450,1077.112831
14.0,420,1085.053674
14.0,412,1092.97603
19.0,482,1102.116711
16.0,488,1111.493031
14.0,424,1119.575825
15.0,398,1127.219496
28.0,478,1136.303824
16.0,382,1143.579571
17.0,504,1153.21549
16.0,452,1161.891121
15.0,454,1170.491048
21.0,482,1179.713508
18.0,498,1189.237199
7.0,400,1196.946128
18.0,440,1205.429082
12.0,390,1213.054819
14.0,432,1221.336369
15.0,440,1230.028507
21.0,428,1238.292133
19.0,574,1249.398244
38.0,816,1265.397564
14.0,410,1273.319864
18.0,642,1286.023763
22.0,646,1298.532336
22.0,524,1308.788424
16.0,408,1316.692174
15.0,646,1329.177912
25.0,642,1341.59102
16.0,472,1350.888337
22.0,464,1359.945878
35.0,584,1371.349756
21.0,568,1382.569983
19.0,492,1392.085505
332.0,511,1402.152454
16.0,494,1411.725616
20.0,566,1422.778807
16.0,448,1431.473639
16.0,432,1439.944593
22.0,524,1450.288636
15.0,374,1457.643462
35.0,576,1468.952002
13.0,396,1476.804065
19.0,524,1487.093583
20.0,488,1496.709817
13.0,504,1506.615634
14.0,356,1513.615927
21.0,454,1522.553857
16.0,406,1530.580825
16.0,420,1538.778249
13.0,420,1547.045453
30.0,566,1558.22536
12.0,366,1565.47088
13.0,424,1573.756289
13.0,440,1582.430463
15.0,354,1589.444991
14.0,364,1596.598041
20.0,424,1605.006809
14.0,412,1613.147089
15.0,508,1623.339095
15.0,472,1632.678008
18.0,418,1641.024278
31.0,592,1652.819013
9.0,356,1659.903659
13.0,396,1667.928723
22.0,464,1677.272321
13.0,540,1688.194756
16.0,428,1696.69493
23.0,452,1705.742609
15.0,436,1714.412942
18.0,486,1724.18534
14.0,588,1735.897866
16.0,442,1744.788191
31.0,619,1757.11804
12.0,376,1764.663158
18.0,592,1776.616737
21.0,430,1785.241
29.0,656,1798.350645
10.0,412,1806.651054
15.0,410,1814.975456
13.0,432,1823.7524
10.0,398,1831.678844
11.0,360,1838.866475
15.0,488,1848.73698
11.0,388,1856.502464
19.0,436,1865.241735
14.0,450,1874.335508
10.0,364,1881.678839
12.0,400,1889.75685
12.0,364,1897.084797
13.0,430,1905.779947
15.0,444,1914.809129
21.0,518,1925.227353
17.0,474,1934.834662
17.0,450,1944.043615
17.0,422,1952.586794
27.0,534,1963.516186
11.0,388,1971.382319
18.0,418,1979.916392
21.0,486,1989.726473
24.0,470,1999.53787
13.0,402,2007.662242
13.0,384,2015.503027
15.0,362,2023.033268
16.0,656,2036.39966
18.0,504,2046.663067
16.0,464,2056.178979
11.0,430,2064.929568
15.0,444,2074.053317
20.0,460,2083.492508
13.0,480,2093.320699
19.0,408,2101.649338
22.0,474,2111.378846
19.0,548,2122.710623
20.0,414,2131.164705
20.0,484,2141.157471
14.0,506,2151.694809
15.0,480,2161.540025
14.0,454,2170.944516
23.0,656,2184.477364
14.0,512,2194.897349
28.0,502,2205.229415
31.0,512,2215.901306
13.0,524,2226.643666
13.0,396,2234.78792
17.0,556,2246.242158
21.0,474,2256.014606
16.0,456,2265.428284
37.0,567,2277.330648
15.0,480,2287.396543
19.0,478,2297.287905
30.0,618,2310.211133
15.0,458,2319.758575
24.0,520,2330.63247
20.0,474,2340.648047
86.0,730,2355.647324
18.0,454,2365.022142
22.0,530,2376.195082
20.0,490,2386.504674
17.0,418,2395.147562
15.0,422,2403.999159
21.0,444,2413.365613
18.0,426,2422.319424
26.0,520,2433.210457
21.0,476,2443.10041
86.0,620,2456.162948
16.0,446,2465.538065
19.0,494,2475.929886
52.0,864,2493.959871
22.0,532,2505.134149
24.0,484,2515.309158
20.0,482,2525.358609
22.0,464,2535.133304
24.0,528,2546.180645
11.0,348,2553.523446
41.0,578,2565.654747
21.0,502,2576.20799
40.0,762,2592.312222
14.0,478,2602.524349
18.0,508,2613.289186
13.0,464,2623.256488
22.0,464,2633.046926
16.0,390,2641.333165
19.0,438,2650.866017
21.0,490,2661.288486
13.0,408,2670.017312
19.0,562,2682.023003
29.0,616,2695.116895
37.0,699,2710.069946
26.0,476,2720.199944
13.0,412,2728.97037
11.0,416,2737.812048
18.0,426,2746.953132
20.0,492,2757.538622
23.0,530,2768.804526
43.0,638,2782.538237
25.0,610,2795.666021
16.0,400,2804.205018
23.0,492,2814.755396
15.0,470,2824.846819
17.0,400,2833.409263
47.0,724,2848.930399
90.0,870,2867.726873
13.0,398,2876.272649
21.0,474,2886.443687
20.0,508,2897.440542
17.0,412,2906.439865
19.0,462,2916.376915
18.0,444,2925.913902
17.0,386,2934.276332
20.0,450,2943.991054
9.0,306,2950.615754
15.0,410,2959.555425
24.0,502,2970.437534
18.0,384,2978.748893
20.0,430,2988.050349
16.0,402,2996.757495
16.0,480,3007.163319
15.0,482,3017.648813
8.0,366,3025.693131
17.0,424,3034.852497
17.0,400,3043.508285
23.0,460,3053.555166
14.0,438,3063.125122
15.0,406,3071.921458
9.0,354,3079.665022
19.0,518,3091.022588
17.0,570,3103.430141
19.0,538,3115.22249
22.0,484,3125.77216
15.0,382,3134.107161
18.0,492,3144.82218
14.0,384,3153.146888
24.0,482,3163.580902
19.0,442,3173.28768
17.0,478,3183.773356
18.0,400,3192.60903
20.0,468,3202.865685
15.0,506,3213.925753
17.0,514,3225.179887
18.0,540,3237.091612
13.0,496,3248.063055
17.0,512,3259.351642
14.0,442,3269.100297
14.0,460,3279.289358
38.0,552,3291.465212
9.0,372,3299.735335
12.0,372,3308.063402
21.0,492,3318.81843
18.0,486,3329.524916
26.0,454,3339.701726
10.0,406,3348.773641
23.0,454,3358.835506
13.0,460,3369.023896
13.0,446,3378.871153
26.0,624,3392.69405
19.0,570,3405.398944
28.0,676,3420.50764
11.0,364,3428.602353
15.0,436,3438.787459
25.0,540,3450.991316
18.0,508,3462.322702
44.0,802,3480.117095
22.0,544,3492.226731
19.0,522,3503.881157
18.0,450,3513.8993
29.0,600,3527.394933
13.0,450,3537.445479
13.0,448,3547.46023
11.0,472,3558.131661
28.0,588,3571.241471
15.0,460,3581.523959
11.0,468,3592.069628
19.0,456,3602.276034
15.0,490,3613.257593
33.0,604,3626.977581
16.0,592,3640.319393
15.0,444,3650.399219
15.0,554,3662.834578
13.0,438,3672.645062
16.0,460,3683.06985
25.0,726,3699.356114
17.0,444,3709.421721
30.0,608,3723.103858
18.0,416,3732.492152
17.0,506,3743.863491
13.0,498,3755.087085
19.0,462,3765.594626
13.0,440,3775.621305
24.0,518,3787.328217
16.0,456,3797.657646
18.0,448,3807.91341
12.0,430,3817.727026
19.0,488,3828.788815
26.0,446,3838.948905
22.0,546,3851.388753
12.0,406,3860.694584
29.0,510,3872.211523
22.0,496,3883.493624
18.0,444,3893.600344
17.0,502,3905.069296
13.0,464,3915.631435
16.0,472,3926.487038
17.0,478,3937.366753
16.0,470,3948.152778
16.0,408,3957.515523
22.0,520,3969.275471
